Survey Introduction & Privacy Statement  ,Have you ever made an insurance claim? ,  How confident are you in understanding insurance policies and the insurance claim process?  ,"  When using services such as banking, insurance, or government services, which method do you generally prefer?  ",What type of insurance was your most recent claim related to?  , How did you first report your most recent claim?  ," Thinking about when the incident first happened, what did you find difficult or uncertain about?  ",  What did you find difficult or frustrating while reporting the claim?  ,"After your initial report, did the insurer contact you again because additional information or documents were required?  "," After submitting your initial claim report, what did you find difficult or uncertain about?  ","Thinking about the whole experience, which ONE part was the most difficult or frustrating?  ",Imagine you have just been involved in a minor car accident and need to report it to your insurer. What would you be most unsure about?  ,How would you prefer to report the incident?  ,"  When reporting an insurance claim, which THREE things would be most important to you?  ",In which situations would you prefer support from a human?  ,"How comfortable would you be using an AI assistant to help you report an insurance claim, if you could request human support at any time?  ",What would concern you most about using AI during an insurance claim?  ,"If you could change ONE thing about the insurance claim experience, what would it be?  "
"Yes, I agree to participate",No,2,Mobile app;Website / Online form,,,Whether I need to contact police;What documentation I need,,,,,,,,,3,Technical errors;Privacy concerns;Loss of personal touch;AI might misunderstand my situation;AI making wrong decisions,...
"Yes, I agree to participate",Yes,5,Phone call,Health,Mobile app,Understanding what information I needed to collect,Long wait times,I don't remember,Not knowing the status of my claim;Uncertainty about documentation requirements;Difficulty contacting someone;No updates unless I called,Waiting for assessment,,,Fast processing;Easy access to support;Knowing what to expect at each stage,Confusing policy terms;High-value claim;Urgent matter;Complex situation,3,Lack of empathy;Complex situations might not be handled;AI might misunderstand my situation;Not knowing when human will intervene;AI making wrong decisions,quicker approval
"Yes, I agree to participate",Yes,3,Chat / Messaging,Contents / Personal belongings,Website / Online form,I didn't know what I should do first;I didn't know what information I needed to collect;I didn't know what photos or evidence I needed;I didn't know whether I needed to contact the police or another party;I wasn't sure whether the incident was covered by my insurance;I was stressed and found it difficult to think about the process;I didn't experience any major difficulty,There were too many questions;I had to repeat information I had already provided;Insurance terminology was difficult to understand,No,I wasn't sure whether I had provided everything required;I didn't know what would happen next;I didn't know how long the process would take;I wasn't sure who to contact for help,Knowing what information or evidence to collect,,,Completing the report quickly;Knowing exactly what information I need;Understanding whether my incident is covered;Knowing what happens next,Immediately after a serious or stressful incident;When my situation is complicated or unusual;When I have difficulty using the digital process;When there is a disagreement about the claim,3,AI misunderstanding what happened;Privacy or security of my personal information;AI making decisions that should be made by a human;Difficulty explaining a complicated or unusual situation;Not knowing when a human is involved,Document demand
"Yes, I agree to participate",Yes,3,Chat / Messaging,Motor / Vehicle,Website / Online form,Understanding what information I needed to collect;Knowing whether to involve police or other authorities,Could not upload documents easily;Long wait times;Had to repeat information multiple times;System was difficult to use,I don't remember,Different staff gave different information;Not knowing the status of my claim;No updates unless I called;Unclear about next steps,Initial reporting,,,Simple documentation process;Clear communication;Easy access to support,Technical issues;High-value claim;Urgent matter;Need reassurance,4,Not knowing when human will intervene;Technical errors;Loss of personal touch,easier upload process
"Yes, I agree to participate",Yes,3,Website / Online self-service,Home / Property,Phone call,Knowing what steps to take immediately;Understanding what information I needed to collect,Unclear what information was required;System was difficult to use;Long wait times,I don't remember,Long processing time;Not knowing the status of my claim;Unclear about next steps;Difficulty contacting someone;Different staff gave different information,Communicating with staff,,,Knowing what to expect at each stage;Easy access to support;Simple documentation process,Technical issues,3,Not knowing when human will intervene,aaa
"Yes, I agree to participate",No,1,Phone call,,,,,,,,I would know what to do,Mobile app,Completing the report quickly;Knowing exactly what information I need;Knowing what happens next,When I don't understand what information is required,1,AI misunderstanding what happened,
"Yes, I agree to participate",Yes,4,Website / Online form,Motor / Vehicle,Website / Online form,Understanding my policy coverage;Taking photos or documenting the scene properly;Knowing what steps to take immediately,Could not upload documents easily,"Yes, multiple times",Difficulty contacting someone;Unclear about next steps,Initial reporting,,,Transparent status updates;Simple documentation process;Fast processing,High-value claim;Complex situation,3,AI making wrong decisions;Complex situations might not be handled;Loss of personal touch;Lack of empathy,faster claim settlement
"Yes, I agree to participate",No,3,Phone call;Phone call,,,How to exchange information with other party;How soon I need to report,,,,,,,,,3,Technical errors;Lack of empathy;Privacy concerns,simpler language
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app,,,Whether I need to contact police;What my policy covers,,,,,,,,,4,Privacy concerns;Not knowing when human will intervene;Technical errors;Lack of empathy;AI making wrong decisions,quicker approval
"Yes, I agree to participate",Yes,3,In-person service,Health,Mobile app,Understanding my policy coverage;Taking photos or documenting the scene properly;Assessing the extent of damage;Knowing what steps to take immediately,Long wait times;Uncertain about policy coverage;Unclear what information was required;Had to repeat information multiple times,"Yes, multiple times",Unclear about next steps;Not knowing the status of my claim;Different staff gave different information;Long processing time;No updates unless I called,Communicating with staff,,,Fast processing;Clear communication;Simple documentation process,Technical issues;Dispute or disagreement;Difficulty using digital channels;High-value claim;Confusing policy terms,3,Loss of personal touch;Lack of empathy,more transparency
"Yes, I agree to participate",No,2,Chat / Messaging;Chat / Messaging;Mobile app,,,What my policy covers;How to exchange information with other party;Whether I should move the vehicle,,,,,,,,,4,Privacy concerns;Loss of personal touch;Lack of empathy,less paperwork
"Yes, I agree to participate",Yes,4,Chat / Messaging,Home / Property,Phone call,Understanding what information I needed to collect;Assessing the extent of damage;Finding contact information for my insurer,Had to repeat information multiple times;Long wait times,"Yes, once",Long processing time;No updates unless I called;Uncertainty about documentation requirements;Not knowing the status of my claim,Waiting for assessment,,,Easy access to support;Knowing what to expect at each stage;Simple documentation process,Need reassurance;Confusing policy terms,4,AI making wrong decisions;Technical errors;Privacy concerns,better status updates
"Yes, I agree to participate",No,3,Mobile app;Phone call;In-person service,,,,,,,,What I should do immediately;What photos or evidence I should take;Whether I need to contact the police,Phone call;In person,"Knowing exactly what information I need;Using simple, easy-to-understand language;Being able to track the progress of my claim",Immediately after a serious or stressful incident;When I don't understand what information is required;When there is a disagreement about the claim,3,AI misunderstanding what happened;AI making decisions that should be made by a human;Difficulty explaining a complicated or unusual situation,
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,What information to collect at the scene;Whether I should move the vehicle,,,,,,,,,3,AI might misunderstand my situation;Lack of empathy;Complex situations might not be handled;Loss of personal touch,one person to talk to
"Yes, I agree to participate",No,4,In-person service;Phone call,,,What documentation I need;Whether I should move the vehicle,,,,,,,,,3,Not knowing when human will intervene;AI making wrong decisions;Privacy concerns,make the process clearer
"Yes, I agree to participate",No,4,In-person service;Phone call,,,Whether I need to contact police,,,,,,,,,4,AI making wrong decisions,clearer next steps
"Yes, I agree to participate",No,3,Website / Online form;Website / Online form,,,How to exchange information with other party;What information to collect at the scene,,,,,,,,,3,Complex situations might not be handled,easier to reach someone
"Yes, I agree to participate",No,5,Phone call;Phone call,,,What documentation I need;How soon I need to report;Whether I should move the vehicle;Whether I need to contact police,,,,,,,,,4,Not knowing when human will intervene;Lack of empathy;Privacy concerns;Complex situations might not be handled,less confusing terms
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,Whether I need to contact police;What documentation I need;Whether I should move the vehicle,,,,,,,,,5,Technical errors,simpler language
"Yes, I agree to participate",Yes,4,Phone call,Health,Mobile app,Knowing what steps to take immediately,Uncertain about policy coverage;Confusing terminology,"Yes, multiple times",Unclear about next steps;Uncertainty about documentation requirements;Long processing time,Understanding requirements,,,Easy access to support;Knowing what to expect at each stage;Simple documentation process,Urgent matter;Complex situation;Dispute or disagreement,5,Complex situations might not be handled;Technical errors;AI making wrong decisions;Loss of personal touch;Lack of empathy,better communication
"Yes, I agree to participate",No,4,Chat / Messaging;Chat / Messaging;Mobile app,,,What information to collect at the scene;How to exchange information with other party;Whether I should move the vehicle,,,,,,,,,2,Lack of empathy;AI might misunderstand my situation;Technical errors;Complex situations might not be handled;AI making wrong decisions,avoid repeating same story
"Yes, I agree to participate",Yes,2,Mobile app,Motor / Vehicle,Mobile app,Taking photos or documenting the scene properly;Understanding my policy coverage;Understanding what information I needed to collect,System was difficult to use;Had to repeat information multiple times;Uncertain about policy coverage;Long wait times,I don't remember,Uncertainty about documentation requirements;Unclear about next steps;Not knowing the status of my claim,Understanding requirements,,,Easy access to support;Transparent status updates;Fast processing,Need reassurance;Technical issues,3,Loss of personal touch;Not knowing when human will intervene;Technical errors;Lack of empathy,quicker approval
"Yes, I agree to participate",No,3,Website / Online form;Mobile app;Website / Online form,,,What information to collect at the scene;How to exchange information with other party;What my policy covers,,,,,,,,,3,AI making wrong decisions;Loss of personal touch;Not knowing when human will intervene;Complex situations might not be handled,less paperwork
"Yes, I agree to participate",Yes,3,Website / Online form,Motor / Vehicle,Website / Online form,Assessing the extent of damage;Finding contact information for my insurer;Taking photos or documenting the scene properly,Had to repeat information multiple times;Uncertain about policy coverage,"Yes, multiple times",No updates unless I called,Initial reporting,,,Easy to understand requirements;Simple documentation process;Knowing what to expect at each stage,Technical issues;High-value claim,4,Privacy concerns;Lack of empathy;AI making wrong decisions;AI might misunderstand my situation,know exactly what docs needed
"Yes, I agree to participate",No,2,In-person service;Phone call,,,Whether I need to contact police;What information to collect at the scene;What my policy covers;How to exchange information with other party,,,,,,,,,3,Loss of personal touch;Privacy concerns;Not knowing when human will intervene;AI making wrong decisions;Technical errors,better status updates
"Yes, I agree to participate",No,2,Chat / Messaging;Chat / Messaging,,,How soon I need to report;What my policy covers,,,,,,,,,3,Lack of empathy,more transparency
"Yes, I agree to participate",No,5,Website / Online form;Mobile app;Website / Online form,,,Whether I should move the vehicle;How to exchange information with other party;What documentation I need;How soon I need to report,,,,,,,,,3,Complex situations might not be handled;Technical errors;Not knowing when human will intervene;Lack of empathy;AI might misunderstand my situation,clearer requirements upfront
"Yes, I agree to participate",No,3,In-person service;Phone call,,,What documentation I need;What my policy covers;Whether I should move the vehicle;What information to collect at the scene,,,,,,,,,3,AI making wrong decisions;Lack of empathy;Technical errors;AI might misunderstand my situation;Privacy concerns,111
"Yes, I agree to participate",No,2,Website / Online self-service;Mobile app;Chat / Messaging;In-person service,,,,,,,,What I should do immediately;What photos or evidence I should take;Whether I need to contact the police;Whether my insurance covers the damage;How long the process would take,Website / Online form;In person,Knowing exactly what information I need;Understanding whether my incident is covered;Being able to provide photos or documents easily;Being able to track the progress of my claim,Immediately after a serious or stressful incident;When I don't understand what information is required;When my situation is complicated or unusual;When I have difficulty using the digital process;When there is a disagreement about the claim,3,AI misunderstanding what happened;AI making decisions that should be made by a human;Difficulty explaining a complicated or unusual situation,
"Yes, I agree to participate",No,3,Website / Online self-service;Website / Online form;Mobile app,,,What my policy covers;How soon I need to report;Whether I need to contact police,,,,,,,,,4,Technical errors;Not knowing when human will intervene;Complex situations might not be handled,know exactly what docs needed
"Yes, I agree to participate",Yes,3,Phone call,Home / Property,Phone call,Understanding what information I needed to collect;Taking photos or documenting the scene properly;Assessing the extent of damage;Understanding my policy coverage,System was difficult to use,"Yes, multiple times",Difficulty contacting someone,Waiting for assessment,,,Easy access to support;Simple documentation process;Transparent status updates,Need reassurance;High-value claim;Dispute or disagreement;Complex situation,4,AI might misunderstand my situation;AI making wrong decisions;Lack of empathy;Loss of personal touch,more human contact when needed
"Yes, I agree to participate",No,5,In-person service;Phone call,,,How to exchange information with other party,,,,,,,,,4,Privacy concerns;Not knowing when human will intervene;Complex situations might not be handled;Lack of empathy;Loss of personal touch,easier upload process
"Yes, I agree to participate",No,2,Phone call;Phone call,,,What documentation I need;What information to collect at the scene;How to exchange information with other party;Whether I should move the vehicle,,,,,,,,,4,Loss of personal touch;AI might misunderstand my situation;Lack of empathy;Privacy concerns;Technical errors,nothing
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,What my policy covers,,,,,,,,,3,Lack of empathy;Technical errors;Not knowing when human will intervene,not sure
"Yes, I agree to participate",No,4,Website / Online form;Website / Online form;Mobile app,,,How soon I need to report;What information to collect at the scene;What my policy covers,,,,,,,,,2,Lack of empathy;Loss of personal touch;Not knowing when human will intervene;AI might misunderstand my situation;Complex situations might not be handled,less waiting
"Yes, I agree to participate",No,3,Phone call;Phone call,,,What my policy covers,,,,,,,,,4,Not knowing when human will intervene;Lack of empathy;Loss of personal touch,make the process clearer
"Yes, I agree to participate",No,5,Chat / Messaging;Chat / Messaging;Mobile app,,,How soon I need to report,,,,,,,,,4,AI might misunderstand my situation;Not knowing when human will intervene;Technical errors;Loss of personal touch;Lack of empathy,simpler language
"Yes, I agree to participate",Yes,3,Mobile app,Motor / Vehicle;Travel,Website / Online form,I didn't know what photos or evidence I needed,There were too many questions;I had difficulty explaining what happened,I don't remember,I didn't know what would happen next;I didn't know the status of my claim,Getting updates about the claim,,,Knowing exactly what information I need;Understanding whether my incident is covered,Immediately after a serious or stressful incident;When there is a disagreement about the claim,3,Privacy or security of my personal information;Difficulty explaining a complicated or unusual situation,???(  ?€??€ ??? ?€???  )???
"Yes, I agree to participate",No,4,Mobile app;Mobile app,,,Whether I need to contact police;Whether I should move the vehicle;What my policy covers;What information to collect at the scene,,,,,,,,,3,Technical errors;Lack of empathy;Privacy concerns,nothing
"Yes, I agree to participate",No,2,Phone call;Phone call,,,What information to collect at the scene;Whether I should move the vehicle;What documentation I need;What my policy covers,,,,,,,,,4,AI might misunderstand my situation;Loss of personal touch;AI making wrong decisions,pass
"Yes, I agree to participate",No,3,Phone call;Phone call,,,Whether I need to contact police;Whether I should move the vehicle;What documentation I need,,,,,,,,,3,AI might misunderstand my situation,clearer requirements upfront
"Yes, I agree to participate",Yes,2,Phone call,Home / Property,Mobile app,Assessing the extent of damage,System was difficult to use;Unclear what information was required,"Yes, multiple times",No updates unless I called;Long processing time;Different staff gave different information;Not knowing the status of my claim,Communicating with staff,,,Clear communication;Easy to understand requirements;Transparent status updates,High-value claim;Dispute or disagreement;Urgent matter,4,AI making wrong decisions;Loss of personal touch;AI might misunderstand my situation;Lack of empathy;Privacy concerns,quicker approval
"Yes, I agree to participate",No,3,Website / Online form;Website / Online form;Mobile app,,,Whether I need to contact police;What information to collect at the scene,,,,,,,,,3,Privacy concerns;Loss of personal touch;Lack of empathy;Not knowing when human will intervene;Technical errors,more transparency
"Yes, I agree to participate",Yes,3,Phone call,Motor / Vehicle,Phone call,Taking photos or documenting the scene properly;Understanding what information I needed to collect;Knowing what steps to take immediately,System was difficult to use;Had to repeat information multiple times,"Yes, once",Uncertainty about documentation requirements;Unclear about next steps;Different staff gave different information,Tracking status,,,Knowing what to expect at each stage;Transparent status updates;Simple documentation process,High-value claim;Urgent matter;Confusing policy terms,4,Not knowing when human will intervene;Complex situations might not be handled;Lack of empathy,less confusing terms
"Yes, I agree to participate",No,3,Chat / Messaging;Chat / Messaging;Mobile app,,,Whether I should move the vehicle;Whether I need to contact police;What my policy covers;How soon I need to report,,,,,,,,,2,Loss of personal touch;Complex situations might not be handled;Lack of empathy,better communication
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,What my policy covers;How soon I need to report;Whether I should move the vehicle;What documentation I need,,,,,,,,,4,Privacy concerns;Technical errors;AI making wrong decisions;Not knowing when human will intervene,avoid repeating same story
"Yes, I agree to participate",Yes,3,Website / Online self-service,Health,Website / Online form,I wasn't sure whether the incident was covered by my insurance,The process took too long,No,I wasn't sure whether I had provided everything required;I didn't know how long the process would take;I didn't know the status of my claim;I had to contact the insurer for updates,Getting updates about the claim,,,Knowing exactly what information I need;Being able to provide photos or documents easily;Being able to track the progress of my claim,When I have difficulty using the digital process,5,AI misunderstanding what happened;Privacy or security of my personal information,Proactively report the latest progress
"Yes, I agree to participate",No,3,Phone call;Phone call,,,Whether I need to contact police;How to exchange information with other party,,,,,,,,,1,Privacy concerns;AI might misunderstand my situation;Complex situations might not be handled;AI making wrong decisions,know timeline from start
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,What documentation I need;How soon I need to report;How to exchange information with other party,,,,,,,,,3,Not knowing when human will intervene;Technical errors;AI might misunderstand my situation;AI making wrong decisions;Complex situations might not be handled,better communication
"Yes, I agree to participate",Yes,4,Chat / Messaging,Health,Mobile app,Understanding my policy coverage;Finding contact information for my insurer,Could not upload documents easily;Uncertain about policy coverage,"Yes, multiple times",No updates unless I called;Not knowing the status of my claim,Tracking status,,,Fast processing;Easy access to support;Easy to understand requirements,Need reassurance;Confusing policy terms;Dispute or disagreement,4,Privacy concerns;Not knowing when human will intervene;Complex situations might not be handled,more human contact when needed
"Yes, I agree to participate",No,3,In-person service;Phone call,,,What my policy covers;What information to collect at the scene;Whether I should move the vehicle;What documentation I need,,,,,,,,,3,Privacy concerns;AI making wrong decisions;AI might misunderstand my situation;Lack of empathy,dont have to repeat info
"Yes, I agree to participate",No,3,Website / Online self-service;Website / Online form,,,How to exchange information with other party;How soon I need to report,,,,,,,,,4,AI making wrong decisions;Privacy concerns;AI might misunderstand my situation;Loss of personal touch,easier upload process
"Yes, I agree to participate",No,2,Chat / Messaging;Mobile app;Chat / Messaging,,,How to exchange information with other party;What my policy covers;How soon I need to report,,,,,,,,,4,Not knowing when human will intervene;Lack of empathy;Complex situations might not be handled,more transparency
"Yes, I agree to participate",Yes,3,Website / Online form,Motor / Vehicle,Phone call,Taking photos or documenting the scene properly;Knowing whether to involve police or other authorities;Finding contact information for my insurer,Long wait times,I don't remember,Different staff gave different information;No updates unless I called;Unclear about next steps,Understanding requirements,,,Clear communication;Knowing what to expect at each stage;Easy to understand requirements,Dispute or disagreement,3,Privacy concerns;AI making wrong decisions;Loss of personal touch;Lack of empathy,clearer next steps
"Yes, I agree to participate",No,3,Chat / Messaging;Chat / Messaging;Mobile app,,,Whether I need to contact police;What information to collect at the scene;What my policy covers;How soon I need to report,,,,,,,,,4,Lack of empathy;Not knowing when human will intervene;Complex situations might not be handled;Loss of personal touch,one person to talk to
"Yes, I agree to participate",No,3,Phone call;Phone call,,,Whether I need to contact police,,,,,,,,,3,Not knowing when human will intervene;Lack of empathy;Loss of personal touch;Complex situations might not be handled,faster response time
"Yes, I agree to participate",No,2,Mobile app;Mobile app,,,What documentation I need;What my policy covers,,,,,,,,,5,Loss of personal touch;AI making wrong decisions;Privacy concerns;Technical errors;Not knowing when human will intervene,better status updates
"Yes, I agree to participate",No,3,Phone call;Phone call,,,Whether I should move the vehicle;What information to collect at the scene;How to exchange information with other party,,,,,,,,,4,Complex situations might not be handled;Loss of personal touch;AI making wrong decisions,aaa
"Yes, I agree to participate",Yes,3,Chat / Messaging,Motor / Vehicle,Website / Online form,Knowing whether to involve police or other authorities,Confusing terminology;Had to repeat information multiple times;Long wait times;Unclear what information was required,"Yes, once",Different staff gave different information;Difficulty contacting someone;Unclear about next steps;Uncertainty about documentation requirements,Tracking status,,,Fast processing;Clear communication;Easy access to support,Dispute or disagreement,5,AI making wrong decisions;Technical errors;Lack of empathy,less confusing terms
"Yes, I agree to participate",Yes,3,In-person service,Home / Property,Website / Online form,Understanding my policy coverage;Knowing whether to involve police or other authorities;Knowing what steps to take immediately;Understanding what information I needed to collect,Had to repeat information multiple times;Uncertain about policy coverage;System was difficult to use;Unclear what information was required,I don't remember,Difficulty contacting someone;Different staff gave different information,Initial reporting,,,Transparent status updates;Fast processing;Easy to understand requirements,Technical issues;Urgent matter;High-value claim,3,Not knowing when human will intervene;Lack of empathy;Loss of personal touch,less waiting
"Yes, I agree to participate",No,5,In-person service;Phone call,,,How to exchange information with other party;What documentation I need;What information to collect at the scene;Whether I need to contact police,,,,,,,,,5,Not knowing when human will intervene;Lack of empathy;Complex situations might not be handled;AI making wrong decisions;Privacy concerns,fewer forms to fill
"Yes, I agree to participate",No,3,Website / Online self-service;Phone call;In-person service,,,,,,,,What I should do immediately;What photos or evidence I should take;Whether my insurance covers the damage;How long the process would take,Phone call;Mobile app;Chat / Messaging;In person,Knowing exactly what information I need;Understanding whether my incident is covered;Being able to provide photos or documents easily;Knowing what happens next;Being able to track the progress of my claim,Immediately after a serious or stressful incident;When I don't understand what information is required;When my situation is complicated or unusual;When I have difficulty using the digital process;When there is a disagreement about the claim,1,AI misunderstanding what happened;AI making decisions that should be made by a human;Difficulty explaining a complicated or unusual situation,
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,Whether I should move the vehicle,,,,,,,,,4,Lack of empathy;Technical errors;Not knowing when human will intervene;Privacy concerns,make the process clearer
"Yes, I agree to participate",No,2,Website / Online self-service;Website / Online form;Mobile app,,,What my policy covers,,,,,,,,,4,Lack of empathy;Privacy concerns;Not knowing when human will intervene,not sure
"Yes, I agree to participate",Yes,2,Chat / Messaging,Motor / Vehicle,Phone call,Knowing whether to involve police or other authorities;Knowing what steps to take immediately,Had to repeat information multiple times;Unclear what information was required;System was difficult to use,"Yes, once",Unclear about next steps;Not knowing the status of my claim;Different staff gave different information;Difficulty contacting someone;No updates unless I called,Waiting for assessment,,,Clear communication;Simple documentation process;Fast processing,Technical issues;Confusing policy terms,4,Loss of personal touch;AI making wrong decisions;Lack of empathy;Not knowing when human will intervene,know timeline from start
"Yes, I agree to participate",No,5,Phone call;Phone call,,,How soon I need to report;What documentation I need;Whether I should move the vehicle,,,,,,,,,3,AI might misunderstand my situation;Lack of empathy;Technical errors;Not knowing when human will intervene;Privacy concerns,quicker approval
"Yes, I agree to participate",No,4,Mobile app;Mobile app,,,What information to collect at the scene;Whether I should move the vehicle;How to exchange information with other party;What my policy covers,,,,,,,,,3,Loss of personal touch;Technical errors;Privacy concerns,clearer requirements upfront
"Yes, I agree to participate",No,3,Chat / Messaging;Mobile app;Chat / Messaging,,,What information to collect at the scene;How to exchange information with other party,,,,,,,,,1,Loss of personal touch;Not knowing when human will intervene;Technical errors;AI making wrong decisions;Complex situations might not be handled,understand coverage better
"Yes, I agree to participate",No,2,Mobile app;Website / Online form,,,Whether I need to contact police,,,,,,,,,4,AI might misunderstand my situation;Lack of empathy;Technical errors;AI making wrong decisions;Complex situations might not be handled,avoid repeating same story
"Yes, I agree to participate",No,3,Chat / Messaging;Chat / Messaging;Mobile app,,,What documentation I need;Whether I should move the vehicle;Whether I need to contact police;How soon I need to report,,,,,,,,,3,AI making wrong decisions;Privacy concerns;Not knowing when human will intervene,better status updates
"Yes, I agree to participate",No,3,Website / Online self-service;Website / Online form,,,How soon I need to report;What documentation I need,,,,,,,,,4,Technical errors;Not knowing when human will intervene;Loss of personal touch,faster response time
"Yes, I agree to participate",Yes,2,Chat / Messaging,Motor / Vehicle,Phone call,Understanding my policy coverage;Finding contact information for my insurer;Taking photos or documenting the scene properly,Confusing terminology;Uncertain about policy coverage;Long wait times,"Yes, multiple times",Long processing time,Waiting for assessment,,,Simple documentation process;Fast processing;Easy to understand requirements,Urgent matter;Complex situation;Difficulty using digital channels,3,AI might misunderstand my situation;Privacy concerns;Loss of personal touch,NA
"Yes, I agree to participate",Yes,3,Website / Online self-service,Home / Property,Phone call,Knowing whether to involve police or other authorities;Taking photos or documenting the scene properly,Confusing terminology;Had to repeat information multiple times;Could not upload documents easily,"Yes, multiple times",Not knowing the status of my claim;Different staff gave different information,Waiting for assessment,,,Easy access to support;Clear communication;Transparent status updates,Complex situation,4,Not knowing when human will intervene;AI might misunderstand my situation;Privacy concerns,pass
"Yes, I agree to participate",No,5,In-person service;Phone call,,,How to exchange information with other party;Whether I should move the vehicle;What information to collect at the scene;Whether I need to contact police,,,,,,,,,1,Lack of empathy;Privacy concerns,dont have to repeat info
"Yes, I agree to participate",No,2,Chat / Messaging;Chat / Messaging,,,How soon I need to report;What my policy covers;What documentation I need;Whether I should move the vehicle,,,,,,,,,4,Not knowing when human will intervene;Privacy concerns;AI might misunderstand my situation;Lack of empathy;Complex situations might not be handled,pass
"Yes, I agree to participate",No,3,Phone call;Phone call,,,How to exchange information with other party,,,,,,,,,4,AI might misunderstand my situation;Not knowing when human will intervene;AI making wrong decisions;Privacy concerns,faster response time
